	id	city_id	source	parser	base_url	fetch_params	parse_params	clean_params	status
0	115	7_3473	sterlitamakcity.ru	PaginatedSiteParser	http://sterlitamakcity.ru/news.html?start={start}	"{""start"": [0, 10]}"	"{""text_markup"": ""div.article-content"", ""title_markup"": ""a.contentpagetitle"", ""url_markup"": ""a.contentpagetitle""}"	"{""delete"": [""Подробнее... \\d+ комментари.+""]}"	ACTIVE
1	116	7_495	mk.ru/moscow	PaginatedSiteParser	http://www.mk.ru/moscow/{page}/	"{""page"": [1, 2]}"	"{""text_markup"": ""ul.big_listing p.text"", ""title_markup"": ""ul.big_listing a.mkh2"", ""url_markup"": ""ul.big_listing a.mkh2""}"	{ }	ACTIVE
2	117	7_3852	news.yandex.ru/Barnaul	PaginatedSiteParser	https://news.yandex.ru/Barnaul/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
3	118	7_34766	news.yandex.ru/Blagoveshchensk	PaginatedSiteParser	https://news.yandex.ru/Blagoveshchensk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
4	119	7_8182	news.yandex.ru/Arhangelsk	PaginatedSiteParser	https://news.yandex.ru/Arhangelsk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
5	120	7_8512	news.yandex.ru/Astrahan	PaginatedSiteParser	https://news.yandex.ru/Astrahan/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
6	121	7_4722	news.yandex.ru/Belgorod	PaginatedSiteParser	https://news.yandex.ru/Belgorod/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
7	122	7_40143	news.yandex.ru/Bryansk	PaginatedSiteParser	https://news.yandex.ru/Bryansk/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
8	123	7_4922	news.yandex.ru/Vladimir	PaginatedSiteParser	https://news.yandex.ru/Vladimir/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
9	124	7_844	news.yandex.ru/Volgograd	PaginatedSiteParser	https://news.yandex.ru/Volgograd/index.html	"{""sleep"": 0.25}"	"{""text_markup"": ""div.story_view_main div.story__text, div.story_view_normal div.story__text"", ""title_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black"", ""url_markup"": ""div.story_view_main a.link_theme_black, div.story_view_normal a.link_theme_black""}"	{}	ACTIVE
